milliseconds;ax1;ay1;az1;gx1;gy1;gz1;ax2;ay2;az2;gx2;gy2;gz2;ax3;ay3;az3;gx3;gy3;gz3;ax4;ay4;az4;gx4;gy4;gz4
81360;-3712;595;1525;130;-194;-9;-3061;358;-501;324;10;198;2827;-41;2669;-372;77;221;3584;383;-117;-801;523;237
81372;-3793;411;1472;-33;-207;-61;-3011;317;-861;63;1;40;2795;26;2591;-330;52;181;3837;422;-327;-828;417;418
81384;-3866;310;1338;-195;-365;-231;-2973;228;-1054;-473;149;-154;2752;41;2626;-300;20;124;3984;522;-226;-833;641;608
81396;-3860;346;1342;-365;-427;-346;-3116;125;-1150;-955;92;-413;2699;60;2603;-228;-25;88;3863;658;-128;-860;1025;764
81408;-3867;337;1300;-436;-549;-417;-3180;253;-1074;-1366;-27;-638;2685;79;2532;-200;-90;73;3620;708;10;-901;1171;911
81420;-3888;608;1366;-496;-645;-513;-3318;744;-1049;-1788;-79;-805;2729;136;2524;-194;-131;49;3558;703;48;-961;1284;1071
81432;-3862;688;1511;-565;-761;-543;-3603;883;-724;-2192;-13;-940;2751;129;2519;-165;-140;25;3620;754;180;-996;1115;1178
81444;-3890;702;1700;-509;-744;-503;-3665;963;-482;-2298;-19;-1026;2893;201;2618;-102;-102;11;3736;689;278;-1046;1248;1232
81456;-3939;756;1905;-456;-648;-380;-4122;1100;-117;-2179;203;-1016;3126;258;2683;-97;8;36;3696;549;533;-947;905;1278
81472;-3997;522;1976;-449;-281;-210;-4343;1022;136;-2185;271;-993;3243;300;2700;-118;21;46;4070;646;610;-896;561;1308
81484;-4102;479;1965;-375;-87;-117;-4635;985;388;-2047;411;-751;3282;418;2706;-189;-17;50;4241;838;380;-834;545;1310
81496;-4037;589;1995;-324;328;2;-4523;987;420;-1843;491;-548;3364;550;2696;-261;-24;51;4533;908;524;-828;613;1231
81508;-4024;763;2143;-331;529;40;-4383;1005;550;-1619;672;-388;3379;589;2764;-346;-66;41;4715;1033;499;-817;696;1169
81520;-3971;842;2113;-328;729;-10;-4313;1093;461;-1340;602;-311;3373;753;2769;-453;-136;9;4841;863;482;-737;928;1051
81532;-3929;571;2058;-110;896;-37;-4177;833;621;-999;335;-386;3455;838;2743;-598;-212;-62;4644;638;439;-617;998;1011
81544;-3927;674;2003;87;1082;-128;-4279;551;806;-702;192;-400;3543;905;2771;-775;-274;-144;4457;480;317;-515;873;985
81556;-3969;647;1947;317;1254;-206;-4350;396;954;-194;-214;-417;3458;904;2659;-957;-352;-216;4038;348;206;-497;833;861
81568;-3980;550;2041;507;1443;-273;-4520;235;1114;269;-602;-389;3323;919;2537;-1115;-411;-277;3850;364;310;-594;861;715
81580;-3983;327;2042;808;1665;-343;-4607;105;1517;412;-1078;-443;3100;991;2554;-1236;-501;-341;3593;1632;1051;-818;104;415
81616;-4237;-91;2400;1620;3022;-493;-5178;256;4556;-240;-3527;-1051;3462;911;2887;-1936;-423;-595;3614;1487;2203;-943;-316;539
81628;-5060;-476;2768;1899;3704;-692;-5605;730;6283;-971;-4604;-1239;4131;627;3014;-2177;-231;-685;4189;449;2936;-903;-501;508
81640;-6986;-994;3576;2452;4537;-1050;-6701;632;8232;-1138;-5817;-1556;4540;57;2999;-2269;-329;-660;5215;-836;3469;-336;-787;256
81652;-9174;-383;4299;3438;5315;-1323;-7388;-868;8553;-1896;-7273;-2040;5417;-605;3473;-2213;559;-511;7144;-2812;4003;93;-492;-243
81664;-13263;1119;7212;3509;4381;-1219;-9204;-396;5041;6;-5844;-1862;4196;-1499;2955;-1574;54;-147;8690;-4634;3743;648;109;-1357
81676;-11699;-403;8312;753;1481;-117;-10184;-3015;2343;1713;-6148;-2097;2210;-1779;2009;-914;-122;230;8457;-3578;2331;1180;1670;-2695
81688;-7019;1097;3270;1165;3773;263;-10977;-1020;-1343;5814;-6613;-2217;1402;-1165;1751;-629;-467;586;5297;-1188;1483;1521;4271;-2119
81700;-7912;2457;521;-922;5882;-263;-9122;-408;-2349;7459;-6821;-1405;2061;-852;1952;-773;-595;685;874;1521;317;1885;3563;-1061
81712;-8688;3031;-870;-2921;6410;-996;-8534;3183;-3101;5722;-6215;-271;3242;-1190;2465;-907;-242;701;-2566;2845;267;1442;2688;893
81724;-8272;2194;-2148;-2994;6292;-1117;-7438;4098;-1979;1650;-6170;-34;4230;-1692;2767;-645;138;782;-2505;2987;254;595;1181;1931
81736;-8124;2899;-5738;-701;5596;-854;-7023;3718;-875;-2728;-6078;387;4630;-1721;3008;-185;115;901;-1120;1819;198;-404;-112;2162
81748;-8058;3817;-2870;-419;4786;-251;-6659;1173;-536;-4927;-6044;208;4287;-1423;3063;256;530;918;929;756;1443;-144;-3058;1516
81760;-7319;3681;-638;-1178;4139;-206;-8904;-635;-433;-3846;-6194;-198;3693;-1127;3176;443;721;745;6891;-608;1882;244;-8038;-384
81772;-6022;2433;-1768;-2147;3900;-98;-8918;1221;61;-2887;-6289;-447;3446;-758;3239;392;778;455;14173;-2066;1724;43;-5279;-772
81784;-4780;1818;-2121;-2330;3662;223;-7883;-432;39;-891;-6186;-610;3713;-716;3088;245;755;42;10568;-1028;-897;-319;705;2278
81796;-4212;1340;-1272;-2476;3926;335;-7282;-1690;-429;590;-6108;-480;3789;-1024;3210;90;310;-363;2773;289;390;-230;358;201
81826;-2270;302;-200;-2697;3067;-172;-2828;893;-1714;641;-5620;39;3192;-1125;3019;-8;-104;-493;2588;514;981;-192;-990;303
81838;-1093;-91;-88;-2238;2474;-75;-3888;-2;-1278;306;-5730;444;3246;-876;2753;-85;-136;-405;4344;106;513;-337;-2297;642
81850;-941;-137;-172;-2171;1958;-154;-3777;-35;-1218;25;-6004;-12;3201;-703;2466;-210;-211;-472;5155;266;630;-584;-1270;779
81862;28;-244;36;-2194;1415;-244;-3068;-422;-1608;-150;-5914;-446;3103;-493;2326;-330;-240;-586;5112;-251;530;-949;-331;1195
81874;643;-619;333;-2373;497;-886;-2127;-399;-2058;-474;-5266;-330;2964;-419;2288;-462;-220;-668;5339;-1033;-635;-1097;307;1110
81886;1281;-913;492;-2031;741;-1159;-517;-1030;-1799;-163;-5619;-621;2886;-393;2278;-591;-150;-746;3755;-977;122;-961;189;796
81898;2350;-2050;553;-1987;78;-1557;-362;-339;-2018;-613;-4742;-559;2771;-392;2372;-678;-165;-751;3788;-790;624;-700;244;519
81910;2207;-1621;790;-1947;-377;-947;779;14;-2352;-802;-4197;-469;2790;-496;2433;-687;-227;-718;3757;-661;573;-509;-100;342
81922;3977;-1387;413;-1427;-794;-511;800;-243;-2289;-973;-3322;-433;2850;-545;2551;-702;-291;-652;3787;-535;553;-463;-24;254
81934;2756;-1461;465;-1236;-827;-195;1571;-615;-2532;-945;-2511;-345;2872;-552;2533;-686;-427;-571;3692;-426;555;-505;174;383
81946;4252;-1264;592;-1061;-696;-529;1756;-346;-2685;-733;-1679;-102;2914;-645;2529;-645;-494;-523;3664;-376;562;-496;248;389
81958;4512;-1580;590;-833;-714;-615;2090;-425;-2654;-486;-820;95;2928;-576;2482;-632;-519;-440;3864;-558;555;-436;485;215
81970;4574;-1241;624;-545;-550;-710;2090;-540;-2752;-172;16;255;2962;-622;2500;-614;-473;-338;4260;-540;415;-315;473;-22
81982;4319;-757;590;-148;-308;-827;1951;-498;-2756;63;978;406;3080;-733;2469;-531;-434;-185;4507;-413;317;-295;685;-213
81994;4156;-411;609;170;-205;-858;1794;-455;-2738;209;1952;436;3175;-738;2456;-423;-412;-46;4429;-547;374;-325;1011;-347
82006;3914;-151;618;529;-199;-805;1306;-483;-2695;279;2771;411;3181;-732;2381;-296;-314;86;4301;-636;463;-269;1302;-468
82018;3513;133;597;973;-275;-713;739;-485;-2674;330;3414;373;3165;-849;2304;-194;-282;171;4060;-665;544;-164;1583;-506
82030;3248;272;502;1317;-360;-627;261;-402;-2483;392;4087;422;3119;-862;2340;-119;-273;229;3945;-693;636;-15;1564;-560
82042;2886;525;555;1397;-440;-494;-437;-27;-2593;446;4747;574;3083;-856;2382;-69;-293;283;3794;-699;870;50;1479;-675
82054;2555;923;172;1204;-530;-401;-897;121;-2632;622;5542;902;3145;-920;2339;-8;-280;346;3627;-595;919;72;1295;-778
82066;2008;1568;-146;953;-908;-297;-1401;69;-2691;686;6199;1133;3226;-985;2318;74;-250;400;3653;-528;1041;81;1133;-895
82078;1159;1468;177;313;-1607;-146;-1849;266;-2956;759;6893;1301;3269;-1045;2421;185;-253;455;3748;-471;1007;87;970;-932
82090;380;1015;402;-130;-2298;-96;-2580;474;-2991;423;7260;1199;3254;-1198;2453;292;-246;484;3866;-526;899;127;582;-911
82102;-592;751;314;-91;-3121;-255;-3203;500;-3509;-49;7100;1057;3262;-1229;2438;396;-223;523;4438;-611;816;228;396;-880
82114;-1363;1513;130;-344;-4207;-699;-4790;1442;-3936;-1222;7585;866;3284;-1311;2452;507;-224;541;4754;-754;846;332;522;-709
82126;-2650;1232;167;-788;-5190;-1143;-10385;-40;1487;-2945;5740;450;3301;-1362;2471;627;-271;543;4780;-826;737;379;595;-324
82138;-3699;706;105;-663;-6303;-1462;-9453;1480;-5631;-2773;9016;1194;3362;-1396;2522;727;-292;567;4566;-842;558;459;663;-138
82150;-5530;1131;-55;33;-7205;-1542;-9519;2079;-5319;-3396;8704;747;3349;-1399;2518;833;-312;585;4045;-911;674;479;580;65
82162;-8190;1750;-361;687;-8037;-1655;-10013;2253;-5442;-4917;9178;857;2214;1460;1891;1613;-114;-234;-1165;-1824;-1307;-1266;2458;1801
82302;-4314;3702;3432;1497;-799;1477;-7708;6042;1162;8735;-1335;-498;3312;1834;2362;1258;276;-26;-1638;-3430;-2617;-428;752;-70
82314;-5487;61;1425;898;-571;727;-6550;12429;-1984;8268;-873;799;4463;1701;2544;579;330;16;-2821;-2487;-959;-213;499;-1716
82326;-5334;1751;1949;1026;-606;458;-5520;11320;-2967;1757;1061;612;4957;1352;2735;-134;367;-135;-1123;-1663;889;349;-507;-3221
82338;-4422;2850;2484;-224;-583;-53;-4497;6108;-3326;-2808;1073;708;5045;1064;2619;-900;889;-206;1998;-1694;1189;350;-3571;-3504
82350;-4115;1821;2206;-1295;-711;-454;-3186;1741;-1551;-5103;334;777;4066;912;2268;-1173;1016;-257;8547;916;1432;1001;-8494;-2959
82362;-4139;-739;1971;-1138;-821;-729;-4709;-1716;586;-5103;1147;1122;3569;771;2275;-1264;1121;-67;14709;3873;2055;19;-7749;-3280
82374;-4332;-786;2113;19;-474;-532;-6131;-4311;1175;-2028;2364;2208;4129;714;2966;-1036;1218;267;11138;4218;-2606;864;-1286;-1537
82386;-4190;-355;2274;541;38;-230;-7390;-3647;53;921;2294;4100;3928;546;3157;-761;1006;386;6745;1700;-251;2056;1531;-1063
82398;-3988;-510;2339;936;381;-11;-4254;-4331;1282;3532;740;2860;3842;244;2950;-493;429;378;3063;2248;1610;712;2093;-1054
82410;-3941;-348;2764;1483;722;95;-6614;663;1454;5317;-790;2939;3928;155;2615;-199;21;414;2779;1746;701;-145;9;-734
82422;-4149;395;2873;1521;1020;440;-4520;1413;852;4765;-830;2961;3900;208;2464;-14;-141;449;3342;2087;995;-640;-2129;-623
82434;-3865;922;2708;1342;1536;687;-4383;1717;-544;3475;-519;2571;3760;169;2163;132;-110;520;3595;976;718;-652;-2860;-613
82446;-4079;895;2360;922;1890;1003;-3731;1306;40;3188;-639;2579;3618;67;2188;264;55;667;4288;596;402;-1290;-2431;-858
82458;-4126;559;2103;1076;2097;1295;-3425;1495;-1530;2334;101;2773;3391;-12;2326;368;146;811;5359;-229;-637;-931;-761;-1154
82470;-4275;352;2220;1265;2319;1739;-2080;-99;-920;3152;-676;2534;3190;-52;2304;422;285;944;4242;-483;249;-365;-942;-1011
82482;-4120;1136;1587;1299;1248;1825;-2182;679;-1274;2748;-675;2329;3026;-73;2395;436;281;948;4295;-219;-327;202;-1740;-642
82494;-3524;185;1701;441;1813;1580;-2281;901;-1030;758;-260;1568;2825;-102;2479;399;178;808;4256;49;-672;64;-294;-821
82506;-3943;131;1546;32;463;1307;-2378;116;-1155;131;-435;850;2686;-8;2523;317;78;637;3486;852;-541;-123;623;-798
82518;-4007;129;1253;-578;546;722;-2385;110;-1916;-1056;-373;-581;2984;-4;2287;-102;-135;-35;4058;105;-138;-172;1602;761
82575;-4004;752;1632;-925;-1242;-630;-2647;126;-1772;-1585;-329;-818;3126;77;2360;-94;-34;-124;3976;369;-420;-228;1433;936
82587;-4114;437;1553;-1000;-1517;-783;-3216;265;-1428;-2116;32;-988;3183;167;2392;-98;-15;-194;4084;495;-249;-248;1504;925
82599;-4137;298;1584;-974;-1577;-804;-3521;427;-808;-2363;18;-1172;3100;225;2407;-42;-58;-173;3858;814;-174;-440;1577;861
82611;-4077;389;1840;-934;-1457;-642;-3805;484;-147;-2634;148;-1357;2953;173;2337;107;-125;-27;3868;1145;329;-544;1469;935
82623;-3939;403;2205;-978;-1302;-531;-4335;503;726;-2819;415;-1432;2989;304;2299;209;-196;142;3389;1368;576;-668;1424;1113
82635;-3763;494;2464;-979;-903;-336;-4575;841;1115;-2588;434;-1413;3150;532;2298;204;-201;226;3913;1246;493;-805;1942;1269
82647;-4047;593;2683;-953;-465;-181;-4730;1335;1048;-2290;447;-1352;3331;636;2272;65;-172;203;3916;1119;788;-747;1961;1223
82659;-3934;603;2581;-659;-215;-186;-4864;905;1333;-1839;609;-965;3640;709;2345;-110;-82;140;3706;742;1014;-650;1112;1190
82671;-4074;513;2517;-182;320;-70;-4911;749;1139;-1203;657;-485;3781;769;2356;-292;-43;87;3743;436;932;-657;612;1217
82683;-3876;600;2515;178;587;-50;-4751;522;1109;-486;603;-284;3930;721;2482;-516;54;49;3817;350;603;-721;158;1193
82695;-3828;719;2533;267;861;-113;-4542;561;965;97;404;-111;3900;710;2550;-706;98;37;4331;284;363;-639;89;1124
82707;-3934;514;2323;319;890;-160;-4209;328;896;673;334;-81;3741;831;2496;-887;74;-5;4739;396;77;-478;269;932
82719;-3995;247;2137;554;1143;-218;-4495;220;947;1078;-19;-8;3587;879;2393;-1055;-11;-70;4790;567;89;-399;521;746
82731;-4013;-31;2350;873;1409;-183;-4560;203;1188;1216;-381;9;3538;841;2323;-1199;-42;-135;4754;724;195;-397;381;627
82743;-3836;314;2332;940;1772;-175;-4806;726;1526;1421;-890;82;3539;676;2242;-1226;-66;-181;4297;818;224;-368;338;535
82755;-3735;518;2473;782;2233;-259;-4997;1315;2151;1389;-1394;111;3462;629;2196;-1218;-64;-205;3752;903;593;-334;223;539
82767;-3762;333;2868;722;2708;-376;-4986;1554;2732;745;-1939;-20;3069;761;2267;-1241;-68;-219;3508;1151;800;-265;-5;542
82779;-3727;147;2657;1212;3326;-502;-5384;1378;3626;474;-2705;-281;2807;842;2441;-1368;2;-259;3491;1656;1688;-280;-339;580
82791;-4287;-181;2881;1888;4078;-654;-5759;1368;5268;424;-4491;-740;3338;959;2727;-1636;428;-341;3537;1943;2786;-539;-453;637
82803;-4690;74;3716;2386;4991;-844;-6046;1786;7752;772;-6193;-1241;4318;720;2805;-1898;763;-431;4158;1336;3999;-729;-722;496
82815;-6958;-856;4664;2805;5591;-1010;-6647;1940;8390;509;-6469;-1904;4350;-117;2328;-1983;545;-462;5149;-542;4015;-508;-929;78
82827;-10968;-1605;5810;2291;4848;-1303;-7718;866;6717;-1629;-7247;-2470;4043;-669;2222;-1746;573;-332;7048;-3250;3546;310;-556;-540
82839;-14825;-1023;7783;2210;3127;-1209;-10138;-1429;4391;-527;-7841;-2599;4044;-765;2914;-1447;1237;6;7585;-4827;3290;1019;568;-1579
82851;-11035;-430;5859;929;3411;-553;-11138;-1383;-2336;2135;-6299;-1838;3710;-872;2599;-1263;977;362;6985;-3887;1691;546;3289;-2381
82863;-6781;2399;2668;484;5237;29;-11495;-1707;-2725;3670;-6060;-1206;2713;-1105;2533;-1242;545;524;3439;-1882;840;418;2709;-2257
82875;-7597;2817;-286;-1544;6284;-279;-10653;-935;-2218;3860;-5575;-271;2512;-1216;2642;-1244;383;701;-758;53;-629;1653;1009;-796
82887;-4735;1077;476;-1472;1708;978;-7362;-551;-432;443;-7483;1129;3063;-966;2761;-128;317;-239;3364;-1854;-467;-699;-238;469
82995;-4161;237;141;-1786;961;978;-5528;-262;-757;-200;-7720;1234;2883;-919;2531;-224;64;-268;2937;-365;-338;-414;-617;-229
