-0.37;-0.24;-0.30;-0.12;-0.05;-0.98;0.61;0.24;0.06;0.15;0.07;-0.99;
-0.30;-0.12;0.55;-0.12;-0.05;-0.99;0.67;0.37;0.37;0.14;0.07;-0.99;
-0.43;-0.18;-0.37;-0.11;-0.05;-0.99;0.85;0.43;-0.06;0.14;0.07;-0.99;
-0.24;-0.67;-0.06;-0.11;-0.05;-0.99;0.43;0.24;0.49;0.14;0.07;-0.99;
-0.79;-0.24;0.18;-0.11;-0.04;-0.98;0.79;-0.24;-0.37;0.15;0.06;-0.98;
-0.55;0.12;0.24;-0.12;-0.05;-0.98;0.37;0.12;-0.12;0.15;0.07;-0.99;
-0.18;-0.49;-0.06;-0.11;-0.05;-0.98;0.12;-0.06;0.06;0.14;0.06;-0.99;
-0.37;-0.18;0.06;-0.11;-0.06;-0.98;0.12;-0.37;0.24;0.14;0.06;-0.99;
-0.06;-0.61;0.06;-0.12;-0.06;-0.99;-0.12;-0.12;0.55;0.14;0.06;-0.98;
-0.67;0.18;0.12;-0.11;-0.06;-0.99;0.49;0.55;0.30;0.14;0.06;-0.99;
-0.79;0.00;-0.06;-0.12;-0.04;-1.00;0.37;-0.30;0.24;0.15;0.07;-0.98;
-0.12;-0.49;0.30;-0.12;-0.05;-0.99;0.73;0.55;0.12;0.14;0.07;-0.99;
-0.06;-0.06;0.06;-0.11;-0.05;-0.99;0.06;0.06;0.00;0.14;0.07;-0.99;
-0.73;0.61;-0.24;-0.10;-0.05;-0.99;0.30;0.06;0.67;0.14;0.07;-0.99;
-0.49;0.18;0.37;-0.11;-0.05;-0.99;0.49;0.37;0.24;0.14;0.06;-0.98;
-0.30;-0.18;0.18;-0.11;-0.05;-0.99;0.30;0.06;0.12;0.14;0.06;-0.99;
-0.43;-0.55;0.43;-0.11;-0.05;-0.98;1.10;0.30;0.55;0.14;0.06;-0.99;
-0.18;-0.30;0.00;-0.11;-0.05;-0.99;0.37;0.24;0.37;0.14;0.06;-0.99;
-0.37;-0.43;-0.06;-0.12;-0.05;-0.99;0.06;0.30;0.00;0.14;0.07;-1.00;
-0.12;-0.18;0.24;-0.12;-0.05;-0.99;-48.84;15.37;-31.16;0.24;0.44;-1.01;
13.29;-24.39;-41.22;-0.16;-0.16;-1.25;20.91;21.16;2.44;0.14;0.06;-0.95;
-25.55;-167.32;69.70;-0.05;-0.37;-1.27;-91.16;-77.87;-31.77;0.24;-0.00;-0.77;
62.87;78.23;-43.48;-0.59;-0.30;-0.04;-17.13;-6.71;5.85;0.20;0.05;-0.94;
65.85;64.70;75.91;-0.78;-0.40;-0.47;0.85;9.33;13.54;0.20;0.02;-0.99;
45.55;45.73;60.55;-0.50;-1.14;-0.34;37.38;25.79;5.85;0.17;0.05;-0.99;
44.09;107.13;130.49;-0.45;-0.60;-0.44;-0.98;5.55;0.24;0.21;0.06;-0.97;
34.57;65.49;171.40;-0.58;-1.03;-0.25;18.54;26.16;3.60;0.19;0.04;-0.99;
26.46;-40.85;45.24;-0.40;-1.01;0.40;-8.54;-3.60;0.06;0.21;0.02;-1.00;
-42.01;-48.96;7.07;-0.70;-0.00;-1.18;0.12;-2.99;0.24;0.19;0.05;-0.95;
198.84;253.96;569.15;-0.14;0.12;-1.07;29.15;27.74;-3.90;0.22;0.05;-1.02;
-80.18;-101.10;-41.89;-0.69;-0.31;-1.13;-3.96;-6.77;-1.59;0.17;0.06;-0.98;
-52.01;-47.20;24.09;-0.65;-0.36;-0.87;38.48;18.96;18.29;0.16;0.02;-0.96;
-31.59;-28.05;2.56;-0.62;-0.03;-0.71;-29.57;-52.44;-1.77;0.19;0.07;-1.06;
-125.91;-183.66;-425.55;-0.11;-2.00;-0.17;13.23;7.99;3.23;0.17;0.13;-1.07;
71.52;33.66;203.66;-0.58;-1.45;-0.39;12.62;30.61;1.71;0.15;0.08;-0.99;
89.57;116.95;337.62;-0.74;-0.93;-0.21;2.99;22.87;1.89;0.14;0.09;-0.95;
-7.93;7.01;-16.16;-0.65;0.21;-1.16;-7.99;-10.98;-2.44;0.15;0.06;-1.01;
92.50;-176.28;-163.11;-0.44;2.00;-2.00;-67.32;-75.55;-9.09;0.16;0.04;-1.09;
26.52;-48.72;-54.27;-0.44;-1.42;0.18;-2.80;-7.56;-0.49;0.11;0.05;-0.99;
44.02;90.85;162.07;-0.63;-0.95;-0.35;19.70;26.40;0.67;0.12;0.10;-0.95;
159.88;321.16;293.84;-0.28;0.27;-0.68;19.45;23.41;0.30;0.17;0.07;-1.02;
-191.34;-430.85;-521.59;0.19;-1.41;-0.21;-0.67;-6.89;0.18;0.12;0.05;-0.97;
106.28;199.88;448.84;-0.30;0.37;-0.30;5.24;8.11;2.13;0.18;0.03;-1.01;
-98.48;-181.89;-80.85;-0.53;-0.32;-1.14;-35.43;-63.29;-36.40;0.43;-0.10;-1.04;
288.78;342.80;260.85;-0.33;1.12;-0.82;-25.12;-15.55;11.22;0.20;-0.01;-0.95;
229.09;-36.10;-42.32;-0.03;-0.74;-1.18;-44.21;-43.48;-10.30;0.22;0.01;-1.00;
-3.23;1.65;2.26;-0.11;-0.05;-0.99;7.80;4.51;0.98;0.13;0.06;-0.98;
55.43;-0.85;-14.94;-0.10;-0.06;-1.02;-230.67;-66.16;-46.59;-0.02;0.64;-0.39;
-3.54;-0.79;1.04;-0.10;-0.05;-0.99;-23.90;37.38;56.89;0.10;0.04;-0.95;
-2.13;0.67;-1.71;-0.12;-0.05;-1.00;-42.20;178.23;-3.84;0.23;-1.11;-0.18;
-0.43;-0.18;0.00;-0.09;-0.04;-1.00;-26.95;59.45;20.67;0.32;-0.09;-0.60;
-0.24;-0.24;-0.12;-0.10;-0.05;-0.99;44.88;-52.38;144.09;0.40;-0.35;-0.38;
-0.12;-0.30;0.30;-0.10;-0.05;-0.98;127.56;30.06;-146.40;-0.04;-0.87;-0.63;
0.55;-0.37;0.18;-0.10;-0.04;-0.98;-2.62;-21.04;-15.91;-0.17;-0.74;-0.53;
-0.79;-0.06;-0.06;-0.10;-0.04;-1.00;-11.89;-23.72;-22.32;-0.17;-0.59;-0.65;
0.37;0.00;-0.49;-0.10;-0.05;-1.00;-14.88;-36.71;-45.67;-0.13;-1.01;-0.44;
-0.49;-0.73;-0.12;-0.09;-0.03;-0.99;44.09;310.67;429.27;0.17;-0.76;-0.76;
0.00;-0.67;-0.24;-0.09;-0.04;-0.99;-32.62;-381.83;-574.88;0.39;-0.27;-0.97;
-0.30;-0.43;0.06;-0.09;-0.05;-1.00;-3.96;-31.46;-39.27;0.05;-0.84;-0.67;
-0.06;-0.18;0.00;-0.10;-0.04;-0.98;56.89;391.10;434.76;0.31;-0.80;-0.59;
-0.30;0.30;0.12;-0.10;-0.04;-0.99;-3.54;33.90;52.32;0.17;-0.31;-1.25;
