0.61;0.12;-0.18;-0.56;0.77;0.32;-0.12;0.24;-0.37;-0.56;0.77;0.33;0.37;0.18;-0.12;-0.56;0.76;0.33;-0.12;-0.30;-0.67;-0.55;0.77;0.33;0.30;-0.12;-0.06;-0.56;0.76;0.33;0.43;-0.24;-0.12;-0.56;0.76;0.32
0.43;0.06;-0.49;-0.55;0.76;0.32;0.37;-0.18;0.55;-0.56;0.77;0.34;0.00;0.43;-0.24;-0.56;0.77;0.33;0.55;-0.12;0.06;-0.56;0.77;0.33;0.49;-0.06;-0.24;-0.56;0.77;0.33;0.73;-0.12;0.18;-0.55;0.77;0.33
0.18;-0.37;-0.37;-0.55;0.77;0.33;0.85;-0.06;-0.24;-0.55;0.77;0.33;0.18;-0.12;-0.37;-0.56;0.77;0.32;0.73;0.49;-0.43;-0.55;0.77;0.32;0.24;-0.06;-0.24;-0.55;0.77;0.33;0.24;-0.49;-0.12;-0.55;0.77;0.33
0.00;0.00;0.00;-0.55;0.76;0.33;0.30;0.00;0.30;-0.56;0.77;0.32;0.37;-0.37;-0.30;-0.55;0.77;0.33;0.06;0.12;-0.49;-0.56;0.77;0.34;0.55;0.06;-0.06;-0.56;0.77;0.33;-0.24;-0.06;-0.06;-0.55;0.77;0.33
-0.18;0.00;-0.24;-0.56;0.77;0.33;0.18;-0.30;-0.98;-0.56;0.77;0.33;0.43;0.12;-0.24;-0.55;0.77;0.33;0.00;-0.12;-0.30;-0.55;0.77;0.33;0.43;-0.37;-0.18;-0.56;0.77;0.33;0.06;-0.12;-0.61;-0.55;0.77;0.33
0.43;0.18;-0.37;-0.56;0.76;0.33;0.06;0.24;0.18;-0.56;0.76;0.33;0.43;-0.30;0.06;-0.56;0.77;0.33;-0.18;-0.18;-0.67;-0.55;0.77;0.33;0.12;0.30;-0.43;-0.56;0.77;0.33;-0.06;-0.06;0.06;-0.55;0.77;0.33
0.55;-0.55;0.00;-0.56;0.77;0.32;0.61;-0.37;-0.43;-0.56;0.76;0.33;-0.18;-0.18;-0.37;-0.56;0.77;0.32;0.55;-0.12;-0.18;-0.56;0.77;0.33;0.37;-0.06;-0.06;-0.56;0.76;0.33;0.49;-0.06;0.55;-0.56;0.78;0.33
-0.12;0.18;-0.06;-0.56;0.76;0.33;0.43;-0.43;-0.49;-0.56;0.77;0.34;0.55;0.12;-0.73;-0.56;0.77;0.33;0.73;-0.43;-0.24;-0.56;0.77;0.33;0.30;0.18;-0.43;-0.56;0.77;0.33;0.30;0.30;-0.37;-0.56;0.77;0.33
0.55;0.24;-0.06;-0.56;0.77;0.33;0.37;0.00;0.12;-0.56;0.77;0.33;-0.30;-0.18;-0.18;-0.56;0.78;0.32;0.18;-0.12;-0.43;-0.56;0.76;0.33;-0.18;-0.24;0.00;-0.56;0.77;0.32;0.24;0.06;-0.06;-0.55;0.77;0.33
0.06;0.06;-0.24;-0.56;0.77;0.32;0.49;-0.24;-0.61;-0.56;0.77;0.33;0.12;-0.18;0.06;-0.55;0.77;0.33;0.00;0.06;-0.24;-0.55;0.77;0.33;0.61;-0.06;0.12;-0.55;0.77;0.32;0.79;-0.30;0.24;-0.56;0.77;0.34
0.98;0.00;-0.37;-0.57;0.77;0.33;-0.06;-0.06;-0.06;-0.56;0.76;0.33;0.37;0.24;-0.06;-0.56;0.77;0.32;0.30;-0.18;-0.30;-0.55;0.76;0.33;0.24;-0.49;-0.12;-0.55;0.77;0.33;0.85;-0.06;0.06;-0.56;0.77;0.33
-0.49;0.06;-0.12;-0.55;0.77;0.33;0.49;-0.30;-0.12;-0.56;0.77;0.33;-0.30;0.18;-0.06;-0.55;0.77;0.33;0.12;0.12;-0.37;-0.55;0.77;0.33;0.49;0.55;-0.30;-0.56;0.77;0.33;0.24;-0.06;0.12;-0.55;0.77;0.32
0.06;0.37;-0.24;-0.55;0.76;0.33;0.61;-0.37;-0.18;-0.56;0.76;0.33;0.30;0.00;-0.37;-0.56;0.77;0.33;0.30;-0.12;-0.43;-0.56;0.77;0.33;0.49;-0.06;-0.37;-0.55;0.77;0.33;0.06;-0.18;-0.67;-0.55;0.77;0.34
0.43;-0.12;-0.43;-0.56;0.77;0.33;0.55;-0.43;-0.24;-0.56;0.77;0.34;0.30;0.18;0.06;-0.55;0.76;0.32;0.30;0.06;-0.18;-0.56;0.77;0.34;0.24;-0.30;-0.18;-0.56;0.77;0.33;1.04;-0.24;0.30;-0.55;0.77;0.33
0.18;0.18;-0.12;-0.55;0.77;0.33;0.61;-0.12;-0.30;-0.56;0.77;0.33;0.00;0.30;-0.37;-0.55;0.76;0.33;0.61;-0.37;0.00;-0.55;0.77;0.33;0.55;0.18;-0.43;-0.56;0.77;0.33;0.06;0.12;-0.37;-0.57;0.77;0.33
0.43;0.06;0.06;-0.56;0.77;0.33;0.12;0.30;-0.18;-0.55;0.77;0.33;0.18;-0.24;-0.55;-0.55;0.77;0.33;0.18;-0.37;-0.06;-0.56;0.77;0.33;0.12;-0.61;-0.43;-0.56;0.77;0.33;-0.43;-0.24;-0.37;-0.56;0.77;0.33
0.00;-0.30;-0.12;-0.56;0.77;0.33;0.49;0.00;-0.49;-0.56;0.77;0.33;0.00;-0.30;-0.24;-0.55;0.77;0.32;0.43;-0.37;-0.67;-0.55;0.77;0.33;0.67;0.18;-0.12;-0.56;0.77;0.34;0.49;-0.37;-0.49;-0.56;0.76;0.32
0.49;0.18;-0.37;-0.56;0.76;0.33;-0.24;0.00;0.06;-0.55;0.76;0.33;0.37;0.06;-0.43;-0.56;0.77;0.33;0.00;0.43;-0.61;-0.55;0.76;0.33;-0.06;-0.24;-0.12;-0.56;0.77;0.32;0.79;0.06;-0.30;-0.56;0.76;0.32
-0.06;-0.12;0.43;-0.56;0.77;0.33;0.55;-0.06;0.37;-0.55;0.77;0.32;0.06;0.12;0.18;-0.55;0.77;0.33;0.18;0.30;-0.18;-0.56;0.77;0.33;0.43;-0.18;-0.55;-0.55;0.77;0.32;0.30;-0.06;-0.43;-0.56;0.77;0.33
