-0.06;0.24;-0.18;-0.66;0.63;0.41;0.24;-0.43;-0.43;-0.66;0.64;0.42;0.24;0.06;0.06;-0.66;0.64;0.42;0.49;-0.24;0.12;-0.66;0.65;0.42;0.37;0.12;-0.24;-0.66;0.63;0.41;0.73;-0.49;-0.79;-0.66;0.64;0.41;0.00;-0.06;-0.06;-0.66;0.64;0.42;0.00;0.18;-0.06;-0.66;0.63;0.41
0.18;-0.12;-0.67;-0.66;0.64;0.42;0.24;-0.30;-0.61;-0.66;0.63;0.42;0.73;0.00;-0.12;-0.66;0.64;0.42;0.55;-0.43;-0.30;-0.66;0.64;0.42;0.24;-0.12;-0.55;-0.66;0.64;0.41;-0.06;0.37;0.24;-0.66;0.64;0.42;0.37;-0.24;-0.06;-0.66;0.63;0.41;0.55;0.30;-0.79;-0.65;0.63;0.42
0.00;0.00;-0.37;-0.66;0.63;0.41;0.12;-0.18;0.06;-0.66;0.64;0.42;-0.18;-0.43;-0.06;-0.66;0.63;0.42;-0.37;0.06;-0.24;-0.66;0.63;0.42;0.24;0.24;-0.37;-0.66;0.64;0.41;0.30;-0.06;0.00;-0.66;0.63;0.42;0.67;0.24;-0.18;-0.66;0.63;0.42;0.24;-0.24;-0.30;-0.66;0.64;0.41
0.37;-0.06;-0.06;-0.66;0.64;0.41;0.37;-0.18;-0.18;-0.66;0.63;0.41;0.06;0.18;-0.85;-0.66;0.64;0.41;-0.30;-0.12;-0.06;-0.66;0.63;0.42;0.24;-0.79;0.06;-0.66;0.63;0.42;-0.43;-0.12;-0.24;-0.66;0.64;0.41;0.79;0.12;-0.18;-0.66;0.64;0.42;0.37;0.24;-0.43;-0.66;0.63;0.41
0.18;-0.12;0.00;-0.65;0.63;0.41;0.49;0.24;0.06;-0.66;0.64;0.42;0.67;-0.18;0.00;-0.66;0.64;0.41;0.73;-0.67;0.00;-0.66;0.64;0.41;0.43;-0.49;-0.06;-0.66;0.63;0.42;0.24;0.06;0.12;-0.66;0.64;0.42;0.37;-0.06;0.18;-0.66;0.64;0.41;0.00;-0.61;-0.24;-0.66;0.63;0.41
0.49;-0.79;-0.55;-0.66;0.63;0.42;0.18;0.00;-0.37;-0.66;0.64;0.41;0.12;0.18;-0.55;-0.65;0.64;0.41;0.12;0.24;0.00;-0.66;0.63;0.42;0.18;0.06;-0.73;-0.66;0.64;0.41;-0.12;-0.12;-0.37;-0.66;0.63;0.41;0.37;-0.30;-0.67;-0.65;0.64;0.42;0.18;-0.30;-0.37;-0.66;0.63;0.41
0.73;0.43;0.12;-0.66;0.63;0.41;0.43;-0.24;-0.30;-0.66;0.64;0.42;0.18;-0.06;-0.18;-0.65;0.63;0.42;0.43;-0.55;-0.24;-0.65;0.64;0.42;0.55;0.00;-0.18;-0.66;0.63;0.41;0.49;-0.12;-0.24;-0.66;0.64;0.40;0.30;0.18;0.18;-0.67;0.64;0.42;-0.06;0.43;0.00;-0.66;0.63;0.41
0.06;-0.24;-0.18;-0.65;0.63;0.41;-0.24;-0.67;-0.49;-0.66;0.64;0.42;0.73;-0.30;0.12;-0.66;0.64;0.41;0.24;-0.24;-0.06;-0.65;0.64;0.41;-0.06;-0.24;-0.18;-0.66;0.63;0.41;0.24;0.00;-0.12;-0.66;0.64;0.41;0.30;-0.12;-0.30;-0.66;0.64;0.41;0.43;0.12;-1.46;-0.66;0.63;0.42
0.30;-0.18;-0.67;-0.66;0.63;0.42;0.43;-0.24;-0.37;-0.66;0.64;0.42;0.85;-0.06;-0.06;-0.66;0.64;0.42;0.37;-0.12;0.12;-0.67;0.64;0.41;0.55;-0.24;-0.12;-0.66;0.64;0.41;-0.24;-0.12;-0.85;-0.66;0.63;0.41;0.12;-0.06;-0.12;-0.66;0.63;0.42;0.37;0.49;-0.12;-0.66;0.63;0.41
-0.06;-0.55;-0.12;-0.65;0.63;0.41;0.37;0.12;-1.28;-0.67;0.63;0.41;1.04;-0.24;-0.43;-0.66;0.64;0.41;0.24;0.06;-0.12;-0.66;0.63;0.41;0.18;0.49;-0.30;-0.66;0.64;0.41;0.37;0.43;-0.12;-0.67;0.64;0.42;0.00;0.00;-0.73;-0.66;0.62;0.41;-0.06;0.12;-0.43;-0.66;0.64;0.40
0.06;0.49;-0.37;-0.66;0.64;0.41;0.37;0.18;-0.18;-0.66;0.64;0.42;0.55;0.12;-0.18;-0.66;0.64;0.41;0.30;0.18;-0.30;-0.66;0.63;0.42;0.12;0.00;0.00;-0.66;0.64;0.41;0.12;0.06;0.49;-0.65;0.63;0.41;0.49;-0.12;-0.12;-0.66;0.63;0.42;0.61;-0.37;-0.37;-0.66;0.64;0.42
