0.12;0.18;0.30;0.17;-0.11;-0.98;-0.18;-0.43;-1.28;0.04;-0.72;0.71;0.67;-0.12;0.24;0.16;0.16;0.97;0.73;-0.30;0.37;0.07;-0.07;1.04;0.49;0.79;1.77;0.03;0.62;0.77;0.12;-0.12;0.12;-0.18;0.04;-0.97;
0.30;0.24;0.18;0.17;-0.11;-0.98;0.18;-1.10;-0.91;0.04;-0.72;0.70;0.43;-0.43;-0.18;0.17;0.16;0.97;-0.12;-0.24;0.18;0.08;-0.06;1.03;1.34;0.98;0.79;0.04;0.62;0.77;0.24;0.12;-0.43;-0.18;0.04;-0.98;
0.43;0.00;-0.06;0.17;-0.10;-0.98;0.12;-0.06;-0.73;0.03;-0.73;0.70;0.12;-0.49;-0.06;0.16;0.17;0.97;0.24;-0.55;0.37;0.08;-0.06;1.04;-0.49;0.67;1.52;0.04;0.63;0.77;0.00;0.12;0.06;-0.18;0.04;-0.98;
0.24;0.37;0.30;0.17;-0.10;-0.98;0.06;-0.55;-1.04;0.03;-0.72;0.70;0.30;-0.24;-0.43;0.16;0.17;0.97;0.12;-0.61;0.18;0.09;-0.06;1.03;-0.37;0.49;1.52;0.03;0.62;0.78;0.12;0.24;0.24;-0.17;0.04;-0.98;
0.18;0.18;0.00;0.18;-0.10;-0.99;0.12;-0.37;-0.85;0.03;-0.73;0.71;0.79;0.06;0.24;0.16;0.17;0.96;0.30;-0.37;0.49;0.09;-0.06;1.04;-0.37;0.24;1.28;0.03;0.61;0.79;0.00;-0.12;0.37;-0.18;0.05;-0.98;
-0.24;0.30;-0.12;0.17;-0.11;-0.97;-0.43;-0.61;-1.28;0.04;-0.72;0.69;0.43;-0.30;0.61;0.16;0.17;0.97;0.49;-0.55;0.37;0.08;-0.07;1.04;-0.06;0.49;1.46;0.04;0.62;0.78;0.24;-0.24;-0.24;-0.18;0.05;-0.98;
0.73;0.37;0.37;0.17;-0.11;-0.99;-0.18;-0.43;-1.22;0.03;-0.73;0.70;0.24;0.49;0.18;0.16;0.17;0.97;-0.12;0.00;-0.06;0.07;-0.07;1.03;-0.49;0.85;1.28;0.03;0.62;0.77;0.24;-0.06;0.24;-0.17;0.05;-0.98;
0.61;0.49;0.24;0.17;-0.11;-0.99;0.00;0.06;-1.10;0.03;-0.73;0.70;0.24;-0.55;0.00;0.16;0.17;0.97;0.00;-0.55;0.12;0.08;-0.06;1.05;-0.30;0.67;1.22;0.03;0.62;0.77;0.12;0.12;0.06;-0.18;0.04;-0.98;
0.61;0.30;0.61;0.17;-0.11;-0.98;-0.43;-0.43;-1.34;0.03;-0.73;0.70;0.61;-0.61;0.43;0.17;0.17;0.96;0.55;-0.24;0.18;0.08;-0.06;1.04;-0.55;0.67;1.65;0.03;0.62;0.77;0.61;0.12;-0.30;-0.18;0.05;-0.98;
0.73;-0.18;-0.06;0.18;-0.11;-0.98;0.24;-0.24;-0.91;0.03;-0.73;0.70;0.37;-0.85;0.12;0.16;0.17;0.97;0.55;-0.61;0.24;0.08;-0.07;1.05;0.37;0.98;1.04;0.03;0.62;0.77;0.55;0.30;-0.06;-0.17;0.03;-0.98;
0.43;-0.06;0.24;0.18;-0.10;-0.99;-0.30;-0.98;-0.79;0.03;-0.73;0.71;0.18;-0.49;0.18;0.15;0.17;0.96;0.06;-0.49;0.18;0.08;-0.06;1.04;-0.12;1.10;1.83;0.03;0.62;0.77;-0.43;0.00;0.00;-0.17;0.05;-0.99;
0.49;0.37;0.30;0.17;-0.11;-0.99;0.73;0.00;-0.79;0.04;-0.73;0.70;1.10;-0.37;0.00;0.16;0.16;0.96;0.12;-0.24;0.12;0.08;-0.07;1.05;-0.30;1.10;1.52;0.03;0.62;0.77;-0.24;0.00;-0.43;-0.17;0.04;-0.98;
0.30;0.37;0.49;0.17;-0.10;-0.98;0.55;-0.24;-0.73;0.04;-0.73;0.71;0.49;-0.30;0.00;0.16;0.16;0.96;0.12;-0.24;0.49;0.08;-0.06;1.03;-0.37;1.40;1.52;0.03;0.62;0.78;-0.12;0.30;-0.12;-0.17;0.04;-0.99;
0.24;0.06;0.18;0.17;-0.11;-0.98;-0.37;-0.91;-1.28;0.04;-0.72;0.70;0.49;-0.43;-0.18;0.16;0.17;0.97;0.37;-0.37;0.06;0.09;-0.06;1.04;-0.18;0.98;1.16;0.03;0.62;0.77;-0.18;-0.06;0.06;-0.18;0.04;-0.98;
0.12;0.24;0.49;0.17;-0.11;-0.98;0.55;-0.55;-1.34;0.04;-0.73;0.70;0.30;-0.37;0.00;0.16;0.17;0.97;0.24;-0.24;0.37;0.08;-0.06;1.03;-0.18;0.61;1.83;0.03;0.62;0.78;-0.06;-0.12;-0.24;-0.18;0.05;-0.98;
0.06;0.18;0.24;0.17;-0.10;-0.98;-0.24;-0.61;-0.79;0.03;-0.72;0.71;0.98;-0.30;0.06;0.17;0.17;0.97;0.55;-0.30;0.49;0.09;-0.07;1.04;-0.49;0.73;1.59;0.03;0.62;0.77;0.37;0.30;0.37;-0.18;0.05;-0.98;
0.06;0.30;0.24;0.17;-0.12;-0.98;0.00;-0.85;-1.04;0.03;-0.73;0.71;0.30;-0.06;0.18;0.16;0.16;0.97;0.30;-0.43;-0.12;0.07;-0.07;1.04;0.18;0.49;1.65;0.03;0.62;0.78;0.18;0.61;-0.18;-0.17;0.03;-0.98;
0.79;-0.06;0.00;0.17;-0.10;-0.98;0.00;-0.61;-0.61;0.03;-0.73;0.70;0.24;-0.43;0.00;0.16;0.17;0.96;-0.06;-0.30;0.30;0.09;-0.06;1.04;-0.12;0.30;1.10;0.04;0.62;0.77;0.43;-0.12;0.12;-0.18;0.04;-0.98;
0.67;0.49;0.00;0.17;-0.10;-0.99;0.49;-0.37;-1.22;0.03;-0.72;0.71;-0.06;-0.37;0.12;0.16;0.16;0.97;0.24;-0.18;0.37;0.08;-0.07;1.04;-0.24;0.73;1.52;0.03;0.62;0.77;0.30;0.37;0.37;-0.17;0.04;-0.98;
0.61;0.37;0.12;0.17;-0.11;-0.99;0.18;0.12;-1.10;0.05;-0.73;0.71;-0.37;0.00;0.06;0.16;0.17;0.97;0.30;0.00;0.18;0.08;-0.06;1.04;-0.30;0.37;1.71;0.03;0.62;0.77;0.98;0.30;-0.12;-0.17;0.04;-0.98;
0.61;0.49;0.49;0.18;-0.11;-0.98;0.06;-0.73;-0.55;0.03;-0.73;0.71;0.37;-0.55;0.24;0.16;0.17;0.97;0.49;-0.37;0.18;0.07;-0.06;1.04;0.12;0.55;1.46;0.03;0.62;0.77;0.18;0.24;0.18;-0.18;0.04;-0.98;
0.61;0.18;0.06;0.18;-0.11;-0.98;0.24;-0.73;-1.40;0.03;-0.72;0.70;0.43;-0.12;0.06;0.17;0.16;0.97;0.30;-0.06;0.18;0.08;-0.06;1.03;-0.43;0.67;1.59;0.03;0.61;0.78;0.67;0.24;0.06;-0.17;0.04;-0.99;
0.12;0.43;0.06;0.18;-0.10;-0.98;-0.24;-0.55;-1.10;0.03;-0.73;0.70;-0.67;-0.55;0.18;0.17;0.16;0.97;0.00;-0.06;-0.06;0.08;-0.06;1.03;0.06;0.55;1.52;0.03;0.61;0.76;0.18;-0.49;0.37;-0.17;0.04;-0.98;
0.37;0.24;0.43;0.17;-0.11;-0.98;0.37;-0.55;-0.91;0.03;-0.73;0.70;0.85;0.18;0.06;0.16;0.17;0.98;0.37;-0.06;0.18;0.08;-0.07;1.04;-0.30;0.49;1.52;0.03;0.61;0.77;0.37;0.12;-0.06;-0.17;0.05;-0.98;
0.43;0.06;0.24;0.17;-0.10;-0.98;-0.30;-0.43;-1.22;0.04;-0.72;0.69;0.00;-0.55;0.00;0.16;0.17;0.97;0.55;-0.18;0.37;0.10;-0.06;1.03;0.49;0.55;1.10;0.03;0.61;0.77;0.24;0.00;0.43;-0.17;0.03;-0.98;
0.73;0.12;0.37;0.17;-0.11;-0.98;-0.37;-0.30;-1.16;0.03;-0.74;0.70;0.18;-0.24;0.30;0.16;0.17;0.96;0.00;-0.18;0.24;0.07;-0.07;1.04;-0.67;0.55;1.65;0.03;0.62;0.77;0.49;0.30;0.18;-0.18;0.05;-0.98;
0.24;0.55;0.06;0.18;-0.10;-0.99;-0.30;-0.61;-0.98;0.03;-0.72;0.70;0.12;-0.24;0.43;0.16;0.16;0.97;0.06;-0.24;0.30;0.08;-0.06;1.04;-0.79;0.67;1.46;0.03;0.61;0.77;0.00;-0.30;0.12;-0.17;0.04;-0.98;
0.37;0.18;0.18;0.17;-0.10;-0.98;-0.98;-0.67;-1.40;0.03;-0.73;0.70;0.37;-0.30;0.30;0.16;0.16;0.97;0.43;0.00;0.30;0.09;-0.06;1.04;0.67;0.49;1.34;0.04;0.61;0.78;0.18;-0.24;0.37;-0.17;0.05;-0.98;
0.24;0.12;0.24;0.17;-0.11;-0.98;0.18;-0.43;-1.16;0.04;-0.72;0.71;0.30;-0.24;-0.06;0.16;0.17;0.97;0.24;-0.30;0.12;0.09;-0.06;1.03;-0.91;1.34;1.46;0.04;0.61;0.77;0.49;-0.61;0.18;-0.18;0.04;-0.98;
0.49;0.30;0.61;0.18;-0.11;-0.98;0.18;-0.30;-0.85;0.04;-0.73;0.70;0.12;-0.24;0.18;0.15;0.16;0.97;0.37;-0.67;-0.18;0.08;-0.07;1.04;0.12;0.43;1.52;0.03;0.62;0.78;-0.12;-0.12;-0.12;-0.18;0.04;-0.98;
0.61;0.24;0.12;0.17;-0.11;-0.98;0.24;-0.18;-1.10;0.04;-0.73;0.70;0.55;0.24;0.24;0.16;0.17;0.97;0.24;-0.37;0.24;0.08;-0.07;1.04;-0.18;0.43;1.46;0.03;0.61;0.77;0.06;0.18;-0.49;-0.18;0.04;-0.98;
0.00;-0.18;0.18;0.18;-0.11;-0.98;-0.24;-0.61;-0.79;0.04;-0.73;0.70;0.61;-0.67;-0.24;0.16;0.16;0.97;0.43;-0.24;0.37;0.09;-0.07;1.03;-0.55;0.67;2.01;0.03;0.62;0.77;0.12;0.43;-0.12;-0.18;0.05;-0.98;
0.49;0.12;0.00;0.17;-0.11;-0.97;-0.43;-0.49;-1.10;0.03;-0.73;0.70;0.30;-0.37;0.30;0.16;0.17;0.96;0.24;-0.55;0.49;0.09;-0.06;1.04;0.49;0.98;1.34;0.03;0.62;0.77;0.18;0.06;0.43;-0.17;0.05;-0.97;
0.73;0.06;0.06;0.17;-0.11;-0.98;-0.12;-0.18;-1.16;0.04;-0.72;0.70;0.67;-0.43;0.00;0.16;0.17;0.97;0.37;-0.30;0.55;0.08;-0.06;1.04;-0.30;0.91;1.40;0.04;0.62;0.77;0.00;0.24;-0.06;-0.18;0.05;-0.98;
0.73;0.55;0.55;0.17;-0.10;-0.98;0.49;-0.37;-1.10;0.04;-0.73;0.69;0.18;-0.85;0.43;0.16;0.16;0.96;0.43;0.06;0.67;0.08;-0.07;1.04;-0.67;0.73;1.40;0.03;0.62;0.77;0.49;-0.43;0.06;-0.17;0.04;-0.99;
0.43;0.24;-0.12;0.18;-0.11;-0.97;0.24;0.00;-1.40;0.04;-0.73;0.70;1.10;-0.12;0.12;0.16;0.17;0.97;0.12;-0.18;-0.06;0.09;-0.07;1.04;-0.61;0.37;1.59;0.03;0.61;0.77;0.37;0.18;-0.43;-0.19;0.04;-0.98;
0.24;0.49;0.18;0.17;-0.10;-0.98;0.37;-0.12;-0.98;0.04;-0.73;0.70;0.18;-0.43;0.24;0.16;0.17;0.97;0.37;-0.12;0.12;0.08;-0.06;1.04;-0.55;0.91;2.13;0.03;0.62;0.77;-0.12;0.06;-0.30;-0.17;0.04;-0.98;
0.24;0.49;0.67;0.17;-0.11;-0.99;0.67;-0.49;-1.28;0.03;-0.73;0.69;0.67;-0.43;0.24;0.17;0.17;0.97;0.61;-0.55;0.30;0.08;-0.06;1.04;0.18;0.73;1.16;0.02;0.61;0.76;-0.18;0.37;-0.24;-0.17;0.04;-0.97;
0.37;0.43;0.24;0.18;-0.10;-0.99;0.06;-0.18;-0.91;0.03;-0.73;0.70;0.12;-0.24;0.18;0.16;0.16;0.97;0.06;-0.67;0.55;0.09;-0.07;1.04;-0.12;0.49;1.59;0.03;0.61;0.77;0.24;0.18;0.12;-0.17;0.05;-0.98;
