0.12;0.00;0.12;-0.08;0.92;0.38;
0.37;-0.06;-0.06;-0.07;0.93;0.39;
0.24;-0.18;-0.30;-0.08;0.93;0.40;
0.43;-0.37;-0.12;-0.08;0.93;0.39;
0.30;-0.18;-0.67;-0.08;0.92;0.40;
0.24;0.00;-0.49;-0.08;0.93;0.39;
0.43;-0.30;-0.24;-0.08;0.93;0.39;
0.00;-0.55;-0.43;-0.08;0.93;0.39;
0.43;0.06;-0.43;-0.07;0.93;0.40;
0.24;0.18;0.12;-0.08;0.92;0.40;
-0.18;0.24;-0.12;-0.08;0.93;0.40;
-0.18;0.24;-0.73;-0.07;0.93;0.39;
0.12;-0.24;-0.37;-0.08;0.92;0.39;
0.24;-0.18;0.00;-0.08;0.92;0.39;
0.12;-0.12;-0.30;-0.08;0.93;0.40;
0.24;0.12;-0.06;-0.08;0.92;0.39;
0.00;0.12;-0.37;-0.07;0.93;0.39;
0.43;-0.79;-0.43;-0.08;0.93;0.39;
0.73;-0.55;-0.30;-0.07;0.92;0.39;
0.12;-0.30;-0.61;-0.08;0.92;0.38;
0.06;0.12;-0.24;-0.08;0.93;0.39;
0.24;0.18;-0.55;-0.08;0.93;0.40;
-0.12;-0.37;-0.12;-0.07;0.92;0.39;
0.06;-0.06;-0.37;-0.08;0.93;0.40;
0.73;-0.61;-0.37;-0.07;0.94;0.39;
0.18;0.06;-0.18;-0.08;0.93;0.39;
0.55;0.43;-0.18;-0.08;0.93;0.39;
0.18;0.12;0.18;-0.08;0.92;0.39;
0.00;0.12;-0.85;-0.08;0.93;0.40;
0.61;-0.43;0.12;-0.07;0.93;0.40;
0.12;-0.06;-0.06;-0.07;0.93;0.40;
0.73;-0.12;-0.30;-0.07;0.93;0.39;
0.43;-0.37;-0.12;-0.08;0.92;0.38;
0.37;-0.06;-0.49;-0.08;0.92;0.40;
0.79;-0.18;-0.43;-0.08;0.93;0.39;
0.24;-0.49;-0.06;-0.08;0.93;0.39;
0.79;-0.37;-0.37;-0.08;0.93;0.40;
-0.67;0.06;-0.37;-0.07;0.93;0.40;
0.18;0.06;-0.43;-0.07;0.93;0.39;
0.24;0.00;-0.06;-0.08;0.93;0.39;
0.18;0.00;-0.43;-0.08;0.92;0.39;
0.49;0.24;-0.37;-0.08;0.93;0.40;
0.24;0.12;-0.37;-0.08;0.92;0.39;
0.61;-0.24;-0.06;-0.07;0.92;0.39;
0.43;0.06;-0.12;-0.08;0.93;0.38;
0.30;-0.43;-0.06;-0.08;0.92;0.38;
-0.06;0.12;-0.12;-0.07;0.94;0.39;
0.24;-0.37;-0.98;-0.07;0.93;0.40;
0.18;0.06;-0.55;-0.08;0.93;0.39;
0.37;-0.18;0.00;-0.08;0.93;0.39;
-0.24;0.12;-0.43;-0.08;0.93;0.39;
0.12;0.06;-0.18;-0.07;0.93;0.39;
0.55;0.00;0.18;-0.08;0.92;0.40;
0.18;0.06;0.06;-0.06;0.92;0.39;
0.30;0.24;-0.18;-0.07;0.93;0.39;
0.73;0.30;-0.30;-0.07;0.93;0.38;
0.18;-0.49;-0.37;-0.06;0.92;0.40;
0.43;0.24;0.06;-0.08;0.93;0.39;
0.43;0.12;-0.06;-0.08;0.93;0.40;
0.67;0.06;-0.43;-0.08;0.92;0.39;
0.43;0.30;-0.24;-0.08;0.93;0.39;
0.37;0.43;0.06;-0.08;0.93;0.39;
0.30;0.37;-0.37;-0.08;0.94;0.38;
0.30;-0.06;-0.37;-0.08;0.93;0.40;
0.67;-0.37;-0.18;-0.08;0.92;0.40;
0.43;0.24;-0.12;-0.08;0.92;0.40;
0.18;0.00;-0.18;-0.08;0.93;0.39;
0.00;0.00;-0.24;-0.07;0.93;0.40;
0.49;-0.18;-0.67;-0.07;0.92;0.40;
0.06;-0.37;0.00;-0.08;0.94;0.40;
0.30;-0.18;0.00;-0.08;0.93;0.39;
0.24;0.06;-0.30;-0.08;0.93;0.39;
0.18;-0.18;-0.43;-0.08;0.93;0.39;
0.24;-0.12;0.24;-0.08;0.93;0.39;
0.30;0.06;-0.37;-0.07;0.93;0.39;
0.12;0.00;-0.43;-0.08;0.93;0.40;
1.22;1.28;0.24;-0.07;0.96;0.37;
2.01;0.43;0.49;-0.07;0.93;0.39;
0.43;0.06;0.06;-0.08;0.93;0.38;
0.30;-0.24;0.00;-0.07;0.93;0.39;
0.12;0.06;-0.61;-0.08;0.92;0.40;
0.00;-0.06;-0.18;-0.07;0.93;0.40;
0.18;-0.24;0.12;-0.08;0.93;0.40;
0.24;0.24;-0.30;-0.08;0.92;0.39;
0.06;-0.12;-0.37;-0.08;0.92;0.39;
0.12;0.00;-0.49;-0.08;0.93;0.39;
0.24;0.12;-0.49;-0.08;0.93;0.39;
0.55;0.00;-0.30;-0.08;0.93;0.39;
-0.06;-0.12;0.00;-0.07;0.92;0.39;
0.49;-0.67;-0.30;-0.07;0.93;0.39;
0.24;-0.06;-0.18;-0.08;0.93;0.39;
