0.18;-0.37;-0.30;0.06;-0.61;0.24;0.30;-0.43;-0.18;
0.30;-0.55;0.00;0.24;-0.18;0.24;0.00;-0.73;-0.12;
0.00;-0.55;0.00;-0.24;-0.24;0.18;1.46;0.18;0.00;
0.24;-0.12;0.06;0.67;-1.16;-0.18;2.74;-0.67;0.43;
3.35;1.34;0.91;-0.06;-0.55;0.12;1.34;-0.67;0.30;
2.93;0.73;1.71;0.73;-0.30;-0.98;-1.46;-0.61;0.00;
0.73;-0.61;0.91;-0.12;-0.06;-0.61;0.67;-0.37;-0.06;
0.37;-0.18;0.18;0.18;-0.06;-0.12;-0.12;-0.98;0.06;
0.61;-0.24;0.06;1.65;0.12;-1.95;2.99;-0.12;2.07;
-3.17;-2.20;-0.06;-0.24;-0.85;-0.49;0.49;-0.43;0.00;
-20.67;149.45;-5.24;-77.38;118.23;-63.96;-48.78;75.55;-88.84;
1.95;3.78;-3.66;-62.87;-82.80;5.18;-35.00;-20.00;2.74;
-1.22;-1.10;-0.67;-0.24;-0.85;-0.55;0.12;-0.49;0.06;
0.67;-0.30;-0.18;-0.18;-0.18;0.00;0.37;-0.30;0.55;
-0.06;-0.43;0.12;0.30;0.18;-0.06;0.49;-0.30;-0.43;
0.12;-0.37;0.30;0.12;-0.85;-0.12;0.43;-0.73;0.43;
0.12;-0.06;-0.12;0.30;-0.49;-0.30;0.30;-0.91;0.24;
-0.18;-0.49;-0.06;0.49;-0.43;0.37;0.18;-0.61;-0.12;
-0.18;-0.30;0.30;0.06;-0.55;-0.37;0.24;-0.55;-0.18;
0.30;-0.67;-0.06;0.30;-0.49;-0.12;0.06;-0.24;0.18;
0.30;-0.43;-0.30;-0.43;-0.49;0.18;0.18;-0.55;0.18;
0.43;-1.04;0.18;0.61;-0.49;0.00;0.06;-0.49;-0.18;
-0.37;-1.10;-0.06;0.06;-0.91;-0.12;0.24;-0.98;-0.18;
-0.61;-0.67;-0.12;-0.12;-0.67;0.18;0.18;-0.55;0.12;
0.91;-0.73;0.12;0.73;-0.12;0.06;0.00;-0.55;-0.30;
0.37;0.06;0.12;0.18;-1.16;-0.12;-0.06;-0.67;0.18;
0.43;-0.61;-0.30;0.61;-0.24;0.00;0.24;-0.49;0.00;
0.85;-0.91;0.37;0.55;-0.37;0.12;0.18;-0.61;0.00;
0.73;-0.37;-0.18;-2.56;-0.12;-0.67;-0.43;-0.73;0.00;
0.24;-0.12;0.43;-0.55;-0.06;0.12;0.06;-0.73;0.12;
0.18;-0.43;0.37;-0.12;-0.18;0.37;0.24;-1.10;0.24;
0.55;-0.73;0.06;0.61;-0.55;-0.12;0.49;-0.49;-0.18;
0.49;-0.37;-0.24;0.18;-0.43;0.12;0.24;-0.37;0.18;
0.43;-0.12;-0.49;-3.11;-0.61;0.00;-0.12;-0.55;-0.12;
0.12;-0.24;0.00;0.00;-0.37;-0.37;0.06;-0.30;0.00;
0.30;-0.18;0.00;0.06;0.06;0.18;0.30;-0.91;0.49;
0.00;-0.18;-0.12;0.12;-0.24;0.12;0.12;-0.67;-0.12;
0.55;-0.73;0.12;1.22;0.06;0.12;0.49;-0.61;0.00;
0.37;-0.43;0.30;-0.61;-0.61;0.30;-0.30;-0.73;0.12;
0.85;0.00;-0.24;-0.73;-0.67;0.06;0.37;0.00;-0.30;
0.12;-0.55;-0.37;-2.68;-1.89;-0.18;-3.11;-1.95;-0.30;
0.91;-0.30;0.37;0.49;-0.43;0.06;0.06;-0.79;0.43;
0.06;-0.30;0.30;-0.30;-0.67;-0.61;0.30;-0.37;0.18;
0.55;-0.73;-0.18;0.24;0.06;0.24;0.43;-0.30;0.12;
0.06;-0.43;0.30;0.30;-0.73;-0.06;0.37;-0.73;-0.12;
0.49;-0.55;-0.12;0.30;-0.24;-0.06;0.49;0.06;-0.18;
0.61;-0.49;-0.06;0.06;-0.49;-0.30;0.12;-0.49;-0.18;
0.24;-0.55;0.00;0.18;0.12;0.00;0.24;-0.06;0.12;
0.37;-0.85;0.00;0.24;-0.43;0.06;0.24;-0.24;-0.06;
0.43;-0.49;-0.30;0.24;0.00;0.06;0.12;-0.55;0.00;
0.79;-0.18;0.18;0.37;-0.37;-0.12;0.67;-0.06;0.24;
0.18;-0.55;-0.37;0.18;-0.43;-0.18;0.06;-0.61;0.24;
-0.49;-0.67;0.18;0.43;-0.37;0.12;-0.12;-0.06;0.12;
0.37;-0.49;0.18;0.43;-0.55;-0.06;0.49;-0.61;-0.24;
0.37;-0.49;0.12;0.79;0.06;0.12;0.37;-0.67;-0.30;
0.43;-0.73;-0.30;0.49;-0.98;0.06;-1.34;-1.34;0.18;
2.13;0.24;0.12;0.06;-0.43;-0.12;-0.18;-0.61;0.30;
0.06;-0.43;-0.24;0.61;-0.37;0.55;-0.06;0.00;0.06;
0.06;-0.30;0.06;0.30;-0.67;0.00;0.12;-0.12;-0.43;
0.61;-0.55;0.00;0.37;-0.67;-0.06;0.30;-0.55;0.12;
