0.12;0.24;-0.24;0.09;-0.37;-0.92;0.61;0.00;0.24;0.12;-0.10;-0.99;0.24;-0.61;-1.22;0.22;-0.08;1.01;0.61;-0.37;0.06;0.13;0.23;0.96;0.37;0.00;0.24;0.01;-0.28;1.00;-0.18;0.73;1.89;0.03;0.58;0.79;0.24;-0.18;0.06;-0.13;0.04;-0.99;
0.12;-0.12;0.30;0.08;-0.37;-0.91;0.98;0.18;0.37;0.13;-0.11;-0.99;0.67;-0.43;-0.55;0.22;-0.07;1.00;0.79;-0.18;0.18;0.13;0.23;0.97;0.00;0.00;-0.18;0.02;-0.29;0.99;-0.43;0.61;1.04;0.04;0.58;0.81;0.24;0.37;-0.06;-0.13;0.04;-0.99;
-0.85;-0.30;-0.24;0.09;-0.38;-0.92;0.55;0.37;0.00;0.14;-0.10;-0.99;0.18;-0.79;-0.79;0.21;-0.07;1.01;0.85;-0.55;-0.18;0.13;0.23;0.96;0.37;-0.18;0.67;0.02;-0.28;1.00;0.24;0.91;1.46;0.03;0.58;0.81;-0.37;-0.12;-0.12;-0.13;0.04;-0.99;
-0.98;-0.12;0.37;0.09;-0.37;-0.92;0.49;0.24;0.24;0.12;-0.10;-0.99;0.06;-0.79;-1.22;0.22;-0.07;1.01;-0.30;-0.24;-0.06;0.14;0.23;0.96;0.30;-0.37;0.12;0.02;-0.28;1.01;-0.43;-0.24;1.46;0.03;0.58;0.80;0.49;0.12;0.18;-0.13;0.04;-0.99;
-0.85;-0.18;0.12;0.10;-0.37;-0.92;0.12;0.37;0.12;0.13;-0.10;-0.98;0.12;-0.12;-0.73;0.22;-0.07;1.00;0.00;-0.24;0.00;0.14;0.23;0.97;0.55;-0.37;0.43;0.02;-0.28;0.99;0.12;0.55;2.01;0.04;0.58;0.81;-0.12;0.12;0.30;-0.14;0.04;-0.98;
-0.12;0.06;-0.18;0.09;-0.38;-0.92;0.67;0.91;0.37;0.13;-0.10;-0.99;-0.49;-0.55;-0.43;0.22;-0.06;1.00;0.98;-0.61;-0.24;0.14;0.22;0.96;0.30;-0.79;0.24;0.03;-0.28;1.00;-0.18;0.91;1.40;0.04;0.58;0.80;0.18;-0.18;0.49;-0.14;0.04;-0.99;
-0.30;-0.12;0.06;0.09;-0.37;-0.92;0.37;0.43;0.43;0.13;-0.10;-0.99;0.00;-0.18;-1.34;0.21;-0.06;1.01;0.55;-0.30;0.06;0.13;0.23;0.96;0.49;-0.73;0.73;0.02;-0.28;0.99;-0.06;0.49;1.52;0.04;0.57;0.80;0.12;0.00;0.12;-0.14;0.04;-0.99;
0.12;-0.43;-0.06;0.09;-0.37;-0.93;-0.06;0.30;0.37;0.12;-0.11;-0.98;0.18;-0.55;-1.04;0.21;-0.07;1.00;0.37;-0.73;0.12;0.13;0.24;0.96;0.24;-0.67;0.30;0.02;-0.27;1.00;-0.55;0.37;1.59;0.03;0.58;0.80;0.12;-0.30;-0.37;-0.14;0.05;-0.99;
-0.67;0.12;-0.12;0.09;-0.38;-0.92;0.67;0.49;0.24;0.13;-0.11;-0.99;-0.06;-0.24;-0.61;0.22;-0.06;1.00;-0.06;-0.37;0.12;0.14;0.23;0.95;0.18;-1.04;-0.12;0.02;-0.28;1.00;-0.30;0.24;1.34;0.03;0.58;0.80;0.00;-0.24;-0.30;-0.13;0.04;-0.99;
-0.06;-0.37;0.12;0.10;-0.38;-0.91;0.61;0.18;-0.06;0.14;-0.10;-1.00;0.37;-0.49;-1.04;0.21;-0.06;1.01;0.43;-0.37;-0.30;0.14;0.23;0.96;-0.12;-0.85;0.30;0.02;-0.28;1.00;0.00;1.16;1.77;0.03;0.58;0.80;0.18;0.12;-0.12;-0.13;0.05;-0.99;
-0.30;0.00;0.18;0.09;-0.37;-0.92;0.18;0.12;0.49;0.12;-0.10;-0.99;0.49;-0.24;-0.85;0.22;-0.07;1.00;0.55;-0.24;0.00;0.13;0.23;0.95;0.79;-0.18;0.30;0.02;-0.28;1.01;-0.12;0.85;1.28;0.03;0.57;0.81;0.12;0.18;0.24;-0.13;0.04;-0.98;
-0.67;-0.30;-0.12;0.08;-0.38;-0.92;0.43;0.43;0.30;0.13;-0.11;-0.99;-0.30;-0.24;-0.43;0.21;-0.07;1.01;-0.12;-0.12;0.00;0.13;0.23;0.95;0.06;-0.49;0.24;0.02;-0.28;1.01;0.18;-0.18;1.40;0.03;0.58;0.81;0.67;-0.06;0.49;-0.13;0.04;-0.98;
0.73;-0.67;-0.37;0.09;-0.36;-0.91;0.61;0.37;0.61;0.13;-0.11;-1.00;0.00;-0.61;-1.40;0.22;-0.07;1.01;-0.79;-0.30;0.55;0.13;0.23;0.95;0.37;-0.49;0.55;0.01;-0.28;1.00;0.18;0.79;1.22;0.03;0.58;0.80;0.12;0.24;-0.18;-0.13;0.03;-0.99;
-0.67;-0.06;0.00;0.08;-0.38;-0.92;0.18;0.30;0.00;0.13;-0.11;-0.98;0.12;-0.55;-0.85;0.21;-0.06;1.00;0.37;-0.18;-0.06;0.14;0.23;0.96;-0.18;-0.67;0.24;0.03;-0.28;1.00;-0.06;0.55;1.22;0.03;0.58;0.80;0.55;0.37;0.37;-0.14;0.05;-0.98;
-0.24;-0.30;0.18;0.09;-0.37;-0.92;0.24;-0.06;0.12;0.13;-0.10;-0.98;0.24;-0.67;-1.10;0.21;-0.07;1.01;0.24;-0.18;0.06;0.13;0.24;0.96;0.18;-0.37;0.37;0.02;-0.27;1.00;0.00;1.04;1.22;0.03;0.58;0.81;0.06;0.18;0.12;-0.14;0.04;-0.99;
