-0.49;-0.06;-0.18;-0.45;0.21;-0.85;0.61;0.30;-0.06;0.18;-0.34;-0.94;-0.12;-0.06;-1.10;0.23;-0.59;0.80;0.37;-0.85;-0.30;0.37;0.12;0.92;0.06;-0.30;-0.18;0.24;-0.12;1.01;-10.61;13.41;5.12;0.34;-0.10;0.93;0.79;-0.18;-0.06;-0.12;0.14;-0.98;0.12;0.00;-0.55;0.24;0.50;0.84;
-0.61;-0.30;0.30;-0.45;0.21;-0.86;0.49;0.00;0.67;0.18;-0.33;-0.93;0.49;-0.43;-0.55;0.24;-0.60;0.80;0.18;-0.79;0.37;0.37;0.12;0.93;0.06;-0.43;0.24;0.24;-0.11;1.01;-30.98;14.63;18.54;0.37;-0.05;1.05;0.49;0.18;0.24;-0.11;0.13;-0.97;0.49;0.18;-0.49;0.24;0.49;0.84;
-0.12;0.06;0.18;-0.46;0.21;-0.86;0.55;0.00;0.30;0.18;-0.33;-0.92;0.00;-0.37;-1.04;0.23;-0.60;0.81;-0.30;-0.73;-0.12;0.37;0.12;0.92;0.24;-0.12;0.18;0.23;-0.11;1.01;-15.00;7.74;3.11;0.30;-0.12;0.85;0.12;-0.43;0.00;-0.13;0.14;-0.98;-0.30;0.06;-0.79;0.25;0.50;0.84;
-0.85;-0.79;-0.30;-0.45;0.21;-0.86;0.98;-0.61;-0.18;0.18;-0.33;-0.92;0.24;-0.30;-0.91;0.23;-0.59;0.81;0.43;-0.18;0.24;0.37;0.12;0.92;0.00;-0.49;0.00;0.23;-0.10;1.02;-0.67;8.48;11.52;0.29;-0.01;0.98;0.49;0.49;0.24;-0.11;0.14;-0.99;0.55;0.18;-0.61;0.26;0.51;0.84;
-0.37;-0.24;0.12;-0.46;0.20;-0.87;0.24;0.43;-0.18;0.18;-0.33;-0.92;0.37;-0.43;-0.98;0.23;-0.60;0.81;0.30;-0.30;0.43;0.38;0.13;0.94;0.00;-0.49;0.06;0.23;-0.11;1.01;-12.07;6.65;3.05;0.31;-0.11;0.87;-0.06;0.12;0.55;-0.12;0.14;-0.98;0.00;-0.18;-0.43;0.25;0.49;0.85;
-0.73;0.24;-0.30;-0.45;0.21;-0.86;0.12;0.30;0.24;0.17;-0.33;-0.94;-0.43;-0.18;-0.79;0.23;-0.59;0.80;0.61;-0.67;-0.12;0.37;0.12;0.92;0.61;-0.85;0.24;0.22;-0.11;1.01;1.65;5.79;8.05;0.30;-0.00;0.97;-0.67;-0.12;0.00;-0.11;0.14;-0.97;0.55;0.12;-0.30;0.25;0.50;0.84;
-0.37;-0.43;-0.18;-0.45;0.20;-0.87;0.49;0.00;0.67;0.18;-0.33;-0.93;0.43;-0.30;-1.10;0.23;-0.59;0.81;0.37;-0.24;-0.24;0.37;0.12;0.94;-0.49;-0.85;0.06;0.22;-0.12;1.01;-3.23;1.83;1.40;0.35;-0.17;0.97;4.88;-1.40;-0.91;-0.12;0.14;-0.98;0.43;-0.18;-0.06;0.25;0.50;0.84;
-0.55;0.12;-0.06;-0.45;0.21;-0.86;0.43;0.55;0.30;0.18;-0.33;-0.93;-0.24;-0.49;-0.61;0.23;-0.59;0.80;0.85;-0.98;0.43;0.38;0.12;0.92;0.73;-0.12;0.18;0.22;-0.11;1.01;-0.49;3.60;8.11;0.36;-0.04;0.95;-0.30;0.37;-0.43;-0.11;0.13;-0.98;0.30;0.43;-0.37;0.26;0.49;0.85;
-0.79;0.30;0.12;-0.46;0.21;-0.85;0.61;0.30;-0.30;0.16;-0.34;-0.93;0.12;0.18;-1.28;0.23;-0.59;0.80;1.34;-0.24;-0.61;0.38;0.12;0.93;0.24;-0.43;0.12;0.22;-0.11;1.01;14.45;-1.95;-0.43;0.31;-0.00;0.97;0.18;-0.12;0.00;-0.11;0.14;-0.98;0.43;0.06;-0.49;0.25;0.50;0.84;
-0.30;-0.06;-0.06;-0.45;0.21;-0.86;0.30;-0.49;-0.37;0.18;-0.33;-0.92;0.61;-0.55;-1.04;0.22;-0.59;0.80;0.24;-0.43;0.55;0.37;0.13;0.93;0.85;-0.18;0.37;0.23;-0.11;1.00;-5.79;5.91;6.46;0.25;0.02;0.91;0.30;-0.24;-0.24;-0.12;0.14;-0.98;0.85;0.06;-0.43;0.24;0.50;0.84;
